date,pv
2002-09-25,4185956.6503946763
2002-09-26,4190337.149719621
2002-09-27,4204741.997538055
2002-09-30,4207858.320808146
2002-10-01,4204626.492072423
2002-10-02,4204626.492072423
2002-10-03,4182773.8010392194
2002-10-04,4186737.925242927
2002-10-07,4190301.429182223
2002-10-08,4191290.2126025734
2002-10-09,4199865.948857234
2002-10-10,4205146.357895123
2002-10-11,4215584.899178011
2002-10-14,4223479.882750213
2002-10-15,4223479.882750213
2002-10-16,4219720.326045013
2002-10-17,4221157.725957184
2002-10-18,4233879.138029254
2002-10-21,4231836.316597302
2002-10-22,4209435.749108737
2002-10-23,4207055.38462853
2002-10-24,4198011.748638965
2002-10-25,4191658.9037014614
2002-10-28,4186171.6693152627
2002-10-29,4199429.102698022
2002-10-30,4194676.5127593335
2002-10-31,4201639.594704021
2002-11-01,4216508.657019614
2002-11-04,4229254.0633286545
2002-11-05,4230258.81231138
2002-11-06,4230258.81231138
2002-11-07,4225609.4734684415
2002-11-08,4222226.063577879
2002-11-11,4215559.300342148
2002-11-12,4221736.9076906955
2002-11-13,4225636.734778038
2002-11-14,4229242.086565231
2002-11-15,4237616.370600795
2002-11-18,4252173.522141324
2002-11-19,4252173.522141324
2002-11-20,4261671.8339263005
2002-11-21,4264520.143065552
2002-11-22,4275919.616638037
2002-11-25,4295953.582534015
2002-11-26,4302632.777965205
2002-11-27,4307634.763574129
2002-11-28,4313822.168452211
2002-11-29,4327355.682284537
2002-12-02,4352088.524612148
2002-12-03,4339602.321796255
2002-12-04,4317294.0618720725
2002-12-05,4337744.715282092
2002-12-06,4349964.067696881
2002-12-09,4336904.928596421
2002-12-10,4320144.907368578
2002-12-11,4318085.152683158
2002-12-12,4334826.942001821
2002-12-13,4336697.423560336
2002-12-16,4336195.88985804
2002-12-17,4334103.256908805
2002-12-18,4339510.782639766
2002-12-19,4341585.415624036
2002-12-20,4350025.631697207
2002-12-23,4349554.080320645
2002-12-24,4360247.113591618
2002-12-25,4360247.113591618
2002-12-26,4370103.1352139
2002-12-27,4388492.39732668
2002-12-30,4401835.2475302145
2002-12-31,4400586.118357257
2003-01-01,4410290.252913681
2003-01-02,4399058.8391764285
2003-01-03,4400566.897770458
2003-01-06,4383070.289071144
2003-01-07,4397950.930193401
2003-01-08,4402411.263714163
2003-01-09,4403456.300700488
2003-01-10,4372406.36720861
2003-01-13,4377005.138403328
2003-01-14,4389553.028791197
2003-01-15,4408267.009702579
2003-01-16,4451506.980242946
2003-01-17,4452163.655570645
2003-01-20,4438135.351223424
2003-01-21,4430850.159517088
2003-01-22,4428984.094493389
2003-01-23,4396691.113366891
2003-01-24,4381046.785886907
2003-01-27,4366589.62702548
2003-01-28,4376984.206965612
2003-01-29,4367856.459091229
2003-01-30,4374044.043322545
2003-01-31,4379675.990073132
2003-02-03,4396524.053341412
2003-02-04,4394223.098887905
2003-02-05,4393819.299805912
2003-02-06,4419652.922873935
2003-02-07,4415459.668115073
2003-02-10,4395381.504000076
2003-02-11,4389126.923762986
2003-02-12,4385946.482269118
2003-02-13,4385946.482269118
2003-02-14,4386938.497363727
2003-02-17,4401571.393003154
2003-02-18,4417101.712520079
2003-02-19,4427574.484655176
2003-02-20,4423755.768458393
2003-02-21,4418690.717715178
2003-02-24,4411509.996266309
2003-02-25,4399649.230318404
2003-02-26,4401434.802425024
2003-02-27,4421828.613099074
2003-02-28,4427710.721153658
2003-03-03,4425448.109642064
2003-03-04,4412725.49212741
2003-03-05,4405088.750406937
2003-03-06,4404168.707863542
2003-03-07,4382026.154971774
2003-03-10,4364850.871076368
2003-03-11,4356097.227457177
2003-03-12,4358307.295642429
2003-03-13,4352126.961432592
2003-03-14,4347541.379675141
2003-03-17,4337412.52787905
2003-03-18,4337412.52787905
2003-03-19,4345485.015820249
2003-03-20,4358722.235145493
2003-03-21,4362215.207686025
2003-03-24,4354823.96884791
2003-03-25,4356070.49073958
2003-03-26,4350017.2040376095
2003-03-27,4345704.429850943
2003-03-28,4346192.272035397
2003-03-31,4337118.256760742
2003-04-01,4336126.7847825335
2003-04-02,4351001.394125031
2003-04-03,4350646.522276335
2003-04-04,4356131.551549534
2003-04-07,4368836.993983444
2003-04-08,4368750.539123363
2003-04-09,4362986.995298723
2003-04-10,4349730.874732552
2003-04-11,4352584.617694804
2003-04-14,3694740.0949149183
2003-04-15,4352217.243945346
2003-04-16,4351031.32270026
2003-04-17,4349949.509398239
2003-04-18,4349949.509398239
2003-04-21,4357682.402520176
2003-04-22,4353139.204368391
2003-04-23,4350224.157696726
2003-04-24,4357514.372148232
2003-04-25,4356324.1329784235
2003-04-28,4366225.307588321
2003-04-29,4360088.372413453
2003-04-30,4363381.8353850795
2003-05-01,4363381.8353850795
2003-05-02,4380214.928032643
2003-05-05,4395475.77001766
2003-05-06,4395531.3572120685
2003-05-07,4395477.478842565
2003-05-08,4398333.947638058
2003-05-09,4410456.291892807
2003-05-12,4453013.147716135
2003-05-13,4443695.710175806
2003-05-14,4473705.670106109
2003-05-15,4481935.979249214
2003-05-16,4487131.7548160255
2003-05-19,4468361.400472848
2003-05-20,4505720.8579073455
2003-05-21,4504833.639987148
2003-05-22,4512271.876946834
2003-05-23,4515855.216265963
2003-05-26,4550274.076934963
2003-05-27,4541144.906282972
2003-05-28,4585815.339122684
2003-05-29,4592901.446776681
2003-05-30,4589049.613576907
2003-06-02,4534353.450124698
2003-06-03,4552217.026896864
2003-06-04,4571174.873979827
2003-06-05,4551544.945586109
2003-06-06,4540952.459848046
2003-06-09,4556015.290431659
2003-06-10,4506637.608973274
2003-06-11,4554599.119848329
2003-06-12,4558630.365283617
2003-06-13,4572663.3943307055
2003-06-16,4559840.161951084
2003-06-17,4594655.519863231
2003-06-18,4583234.735495327
2003-06-19,4596056.156467147
2003-06-20,4599866.676326264
2003-06-23,4607703.378491023
2003-06-24,4624599.439189893
2003-06-25,4639626.776798918
2003-06-26,4625352.9441626
2003-06-27,4637696.159272058
2003-06-30,4647895.954644231
2003-07-01,4632712.963133897
2003-07-02,4627464.04112903
2003-07-03,4680241.809127652
2003-07-04,4689354.259900386
