Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Instrument
500530,Bosch Ltd,BOSCHLTD,Bosch Ltd,Active,A ,10.00,INE323A01026,Equity,,,,,
500547,Bharat Petroleum Corpn. Ltd.,BPCL,Bharat Petroleum Corporation Ltd,Active,A ,10.00,INE029A01011,Equity,,,,,
500550,Siemens Ltd.,SIEMENS,Siemens Ltd,Active,A ,2.00,INE003A01024,Equity,,,,,
500570,TATA MOTORS PASSENGER VEHICLES LIMITED,TMPV,Tata Motors Passenger Vehicles Ltd,Active,A ,2.00,INE155A01022,Equity,,,,,
500575,Voltas Ltd.,VOLTAS,Voltas Ltd,Active,A ,1.00,INE226A01021,Equity,,,,,
500620,Great Eastern Shipping Co. Ltd.,GESHIP,Great Eastern Shipping Company Ltd,Active,A ,10.00,INE017A01032,Equity,,,,,
500645,Deepak Fertilizers &Petrochemicals,DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corporation Ltd,Active,A ,10.00,INE501A01019,Equity,,,,,
500655,GARWARE HI-TECH FILMS LIMITED,GRWRHITECH,Garware Hi-Tech Films Ltd,Active,A ,10.00,INE291A01017,Equity,,,,,
500660,GlaxoSmithkline Pharmaceuticals Ltd.,GLAXO,GlaxoSmithKline Pharmaceuticals Ltd,Active,A ,10.00,INE159A01016,Equity,,,,,
500670,Gujarat Narmada Valley Fert.Co.Ltd,GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Ltd,Active,A ,10.00,INE113A01013,Equity,,,,,
500674,Sanofi India Ltd,SANOFI,Sanofi India Ltd,Active,A ,10.00,INE058A01010,Equity,,,,,
500680,Pfizer Ltd.,PFIZER,Pfizer Ltd,Active,A ,10.00,INE182A01018,Equity,,,,,
500690,Gujarat State Fertilizers & Chem.Ltd,GSFC,Gujarat State Fertilizers & Chemicals Ltd,Active,A ,2.00,INE026A01025,Equity,,,,,
500696,Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever Ltd,Active,A ,1.00,INE030A01027,Equity,,,,,
500710,Akzo Nobel India Limited,AKZOINDIA,Akzo Nobel India Ltd,Active,A ,10.00,INE133A01011,Equity,,,,,
500770,Tata Chemicals Ltd,TATACHEM,Tata Chemicals Ltd,Active,A ,10.00,INE092A01019,Equity,,,,,
500790,Nestle India Ltd.,NESTLEIND,Nestle India Ltd,Active,A ,1.00,INE239A01024,Equity,,,,,
500800,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM,Tata Consumer Products Ltd,Active,A ,1.00,INE192A01025,Equity,,,,,
500820,Asian Paints Ltd.,ASIANPAINT,Asian Paints Ltd,Active,A ,1.00,INE021A01026,Equity,,,,,
500825,Britannia Industries Ltd.,BRITANNIA,Britannia Industries Ltd,Active,A ,1.00,INE216A01030,Equity,,,,,
500830,Colgate-Palmolive (India) Ltd.,COLPAL,Colgate Palmolive (India) Ltd,Active,A ,1.00,INE259A01022,Equity,,,,,
500840,EIH Ltd,EIHOTEL,EIH Ltd,Active,A ,2.00,INE230A01023,Equity,,,,,
500850,Indian Hotels Co. Ltd,INDHOTEL,Indian Hotels Company Ltd,Active,A ,1.00,INE053A01029,Equity,,,,,
500870,Castrol India Ltd,CASTROLIND,Castrol India Ltd,Active,A ,5.00,INE172A01027,Equity,,,,,
500875,ITC Ltd,ITC,ITC Ltd,Active,A ,1.00,INE154A01025,Equity,,,,,
