nohup: ignoring input
Total symbols to ingest: 501
  [228/501] ❌ IGL.NS: cursor already closed
  [229/501] ❌ IIFL.NS: cursor already closed
  [230/501] ❌ IKS.NS: cursor already closed
  [231/501] ❌ INDGN.NS: cursor already closed
  [232/501] ❌ INDHOTEL.NS: cursor already closed
  [233/501] ❌ INDIACEM.NS: cursor already closed
  [234/501] ❌ INDIAMART.NS: cursor already closed
  [235/501] ❌ INDIANB.NS: cursor already closed
  [236/501] ❌ INDIGO.NS: cursor already closed
  [237/501] ❌ INDUSINDBK.NS: cursor already closed
  [238/501] ❌ INDUSTOWER.NS: cursor already closed
  [239/501] ❌ INFY.NS: cursor already closed
  [240/501] ❌ INOXINDIA.NS: cursor already closed
  [241/501] ❌ INOXWIND.NS: cursor already closed
  [242/501] ❌ INTELLECT.NS: cursor already closed
  [243/501] ❌ IOB.NS: cursor already closed
  [244/501] ❌ IOC.NS: cursor already closed
  [245/501] ❌ IPCALAB.NS: cursor already closed
  [246/501] ❌ IRB.NS: cursor already closed
  [247/501] ❌ IRCON.NS: cursor already closed
  [248/501] ❌ IRCTC.NS: cursor already closed
  [249/501] ❌ IREDA.NS: cursor already closed
  [250/501] ❌ IRFC.NS: cursor already closed
  [251/501] ❌ ITCHOTELS.NS: cursor already closed
  [252/501] ❌ ITC.NS: cursor already closed
  [253/501] ❌ ITI.NS: cursor already closed
  [254/501] ❌ JBCHEPHARM.NS: cursor already closed
  [255/501] ❌ JBMA.NS: cursor already closed
  [256/501] ❌ JINDALSAW.NS: cursor already closed
  [257/501] ❌ JINDALSTEL.NS: cursor already closed
  [258/501] ❌ JIOFIN.NS: cursor already closed
  [259/501] ❌ J&KBANK.NS: cursor already closed
  [260/501] ❌ JKCEMENT.NS: cursor already closed
  [261/501] ❌ JKTYRE.NS: cursor already closed
  [262/501] ❌ JMFINANCIL.NS: cursor already closed
  [263/501] ❌ JPPOWER.NS: cursor already closed
  [264/501] ❌ JSL.NS: cursor already closed
  [265/501] ❌ JSWCEMENT.NS: cursor already closed
  [266/501] ❌ JSWENERGY.NS: cursor already closed
  [267/501] ❌ JSWINFRA.NS: cursor already closed
  [268/501] ❌ JSWSTEEL.NS: cursor already closed
  [269/501] ❌ JUBLFOOD.NS: cursor already closed
  [270/501] ❌ JUBLINGREA.NS: cursor already closed
  [271/501] ❌ JUBLPHARMA.NS: cursor already closed
  [272/501] ❌ JWL.NS: cursor already closed
  [273/501] ❌ JYOTHYLAB.NS: cursor already closed
  [274/501] ❌ JYOTICNC.NS: cursor already closed
  [275/501] ❌ KAJARIACER.NS: cursor already closed
  [276/501] ❌ KALYANKJIL.NS: cursor already closed
  [277/501] ❌ KARURVYSYA.NS: cursor already closed
  [278/501] ❌ KAYNES.NS: cursor already closed
  [279/501] ❌ KEC.NS: cursor already closed
  [280/501] ❌ KEI.NS: cursor already closed
  [281/501] ❌ KFINTECH.NS: cursor already closed
  [282/501] ❌ KIMS.NS: cursor already closed
  [283/501] ❌ KIRLOSBROS.NS: cursor already closed
  [284/501] ❌ KIRLOSENG.NS: cursor already closed
  [285/501] ❌ KOTAKBANK.NS: cursor already closed
  [286/501] ❌ KPIL.NS: cursor already closed
  [287/501] ❌ KPITTECH.NS: cursor already closed
  [288/501] ❌ KPRMILL.NS: cursor already closed
  [289/501] ❌ KSB.NS: cursor already closed
  [290/501] ❌ KWIL.NS: cursor already closed
  [291/501] ❌ LALPATHLAB.NS: cursor already closed
  [292/501] ❌ LATENTVIEW.NS: cursor already closed
  [293/501] ❌ LAURUSLABS.NS: cursor already closed
  [294/501] ❌ LEMONTREE.NS: cursor already closed
  [295/501] ❌ LICHSGFIN.NS: cursor already closed
  [296/501] ❌ LICI.NS: cursor already closed
  [297/501] ❌ LINDEINDIA.NS: cursor already closed
  [298/501] ❌ LLOYDSME.NS: cursor already closed
  [299/501] ❌ LODHA.NS: cursor already closed
  [300/501] ❌ LTF.NS: cursor already closed
  [301/501] ❌ LTFOODS.NS: cursor already closed
  [302/501] ❌ LTIM.NS: cursor already closed
  [303/501] ❌ LT.NS: cursor already closed
  [304/501] ❌ LTTS.NS: cursor already closed
  [305/501] ❌ LUPIN.NS: cursor already closed
  [306/501] ❌ MAHABANK.NS: cursor already closed
  [307/501] ❌ MAHSCOOTER.NS: cursor already closed
  [308/501] ❌ MAHSEAMLES.NS: cursor already closed
  [309/501] ❌ MANAPPURAM.NS: cursor already closed
  [310/501] ❌ MANKIND.NS: cursor already closed
  [311/501] ❌ MANYAVAR.NS: cursor already closed
  [312/501] ❌ MAPMYINDIA.NS: cursor already closed
  [313/501] ❌ MARICO.NS: cursor already closed
  [314/501] ❌ MARUTI.NS: cursor already closed
  [315/501] ❌ MAXHEALTH.NS: cursor already closed
  [316/501] ❌ MAZDOCK.NS: cursor already closed
  [317/501] ❌ MCX.NS: cursor already closed
  [318/501] ❌ MEDANTA.NS: cursor already closed
  [319/501] ❌ METROPOLIS.NS: cursor already closed
  [320/501] ❌ MFSL.NS: cursor already closed
  [321/501] ❌ MGL.NS: cursor already closed
  [322/501] ❌ MINDACORP.NS: cursor already closed
  [323/501] ❌ M&MFIN.NS: cursor already closed
  [324/501] ❌ M&M.NS: cursor already closed
  [325/501] ❌ MMTC.NS: cursor already closed
  [326/501] ❌ MOTHERSON.NS: cursor already closed
  [327/501] ❌ MOTILALOFS.NS: cursor already closed
  [328/501] ❌ MPHASIS.NS: cursor already closed
  [329/501] ❌ MRF.NS: cursor already closed
  [330/501] ❌ MRPL.NS: cursor already closed
  [331/501] ❌ MSUMI.NS: cursor already closed
  [332/501] ❌ MUTHOOTFIN.NS: cursor already closed
  [333/501] ❌ NAM-INDIA.NS: cursor already closed
  [334/501] ❌ NATCOPHARM.NS: cursor already closed
  [335/501] ❌ NATIONALUM.NS: cursor already closed
  [336/501] ❌ NAUKRI.NS: cursor already closed
  [337/501] ❌ NAVA.NS: cursor already closed
  [338/501] ❌ NAVINFLUOR.NS: cursor already closed
  [339/501] ❌ NBCC.NS: cursor already closed
  [340/501] ❌ NCC.NS: cursor already closed
  [341/501] ❌ NESTLEIND.NS: cursor already closed
  [342/501] ❌ NETWEB.NS: cursor already closed
  [343/501] ❌ NEULANDLAB.NS: cursor already closed
  [344/501] ❌ NEWGEN.NS: cursor already closed
  [345/501] ❌ NH.NS: cursor already closed
  [346/501] ❌ NHPC.NS: cursor already closed
  [347/501] ❌ NIACL.NS: cursor already closed
  [348/501] ❌ NIVABUPA.NS: cursor already closed
  [349/501] ❌ NLCINDIA.NS: cursor already closed
  [350/501] ❌ NMDC.NS: cursor already closed
  [351/501] ❌ NSLNISP.NS: cursor already closed
  [352/501] ❌ NTPCGREEN.NS: cursor already closed
  [353/501] ❌ NTPC.NS: cursor already closed
  [354/501] ❌ NUVAMA.NS: cursor already closed
  [355/501] ❌ NUVOCO.NS: cursor already closed
  [356/501] ❌ NYKAA.NS: cursor already closed
  [357/501] ❌ OBEROIRLTY.NS: cursor already closed
  [358/501] ❌ OFSS.NS: cursor already closed
  [359/501] ❌ OIL.NS: cursor already closed
  [360/501] ❌ OLAELEC.NS: cursor already closed
  [361/501] ❌ OLECTRA.NS: cursor already closed
  [362/501] ❌ ONESOURCE.NS: cursor already closed
  [363/501] ❌ ONGC.NS: cursor already closed
  [364/501] ❌ PAGEIND.NS: cursor already closed
  [365/501] ❌ PATANJALI.NS: cursor already closed
  [366/501] ❌ PAYTM.NS: cursor already closed
  [367/501] ❌ PCBL.NS: cursor already closed
  [368/501] ❌ PERSISTENT.NS: cursor already closed
  [369/501] ❌ PETRONET.NS: cursor already closed
  [370/501] ❌ PFC.NS: cursor already closed
  [371/501] ❌ PFIZER.NS: cursor already closed
  [372/501] ❌ PGEL.NS: cursor already closed
  [373/501] ❌ PGHH.NS: cursor already closed
  [374/501] ❌ PHOENIXLTD.NS: cursor already closed
  [375/501] ❌ PIDILITIND.NS: cursor already closed
  [376/501] ❌ PIIND.NS: cursor already closed
  [377/501] ❌ PNBHOUSING.NS: cursor already closed
  [378/501] ❌ PNB.NS: cursor already closed
  [379/501] ❌ POLICYBZR.NS: cursor already closed
  [380/501] ❌ POLYCAB.NS: cursor already closed
  [381/501] ❌ POLYMED.NS: cursor already closed
  [382/501] ❌ POONAWALLA.NS: cursor already closed
  [383/501] ❌ POWERGRID.NS: cursor already closed
  [384/501] ❌ POWERINDIA.NS: cursor already closed
  [385/501] ❌ PPLPHARMA.NS: cursor already closed
  [386/501] ❌ PRAJIND.NS: cursor already closed
  [387/501] ❌ PREMIERENE.NS: cursor already closed
  [388/501] ❌ PRESTIGE.NS: cursor already closed
  [389/501] ❌ PTCIL.NS: cursor already closed
  [390/501] ❌ PVRINOX.NS: cursor already closed
  [391/501] ❌ RADICO.NS: cursor already closed
  [392/501] ❌ RAILTEL.NS: cursor already closed
  [393/501] ❌ RAINBOW.NS: cursor already closed
