date,equity,regime,daily_pnl
2021-03-31,1240706.7522203994,BULLISH,0.0015631671394955582
2021-04-01,1249588.4836203994,BULLISH,0.007158606483042895
2021-04-05,1241333.7062203994,BULLISH,-0.006605996700676742
2021-04-06,1246228.8737259994,BULLISH,0.003943474249567203
2021-04-07,1249653.980925999,BULLISH,0.002748377342405295
2021-04-08,1250854.1251259996,BULLISH,0.0009603812081733221
2021-04-09,1255515.0162259997,BULLISH,0.003726166789856933
2021-04-12,1235498.9177823996,BULLISH,-0.01594254006118323
2021-04-13,1215035.9487759997,BULLISH,-0.016562514715212306
2021-04-15,1208543.7113092,BULLISH,-0.005343247229302128
2021-04-16,1209645.9574091998,BULLISH,0.0009120448765611577
2021-04-19,1210653.7342092,BULLISH,0.0008331171561624107
2021-04-20,1213174.2864091997,BULLISH,0.002081976149560516
2021-04-22,1216780.2797204,BULLISH,0.0029723621342763185
2021-04-23,1214393.7481204,BULLISH,-0.0019613496699243393
2021-04-26,1220513.4198203995,BULLISH,0.00503928129527309
2021-04-27,1222979.6364204,BULLISH,0.002020638659068208
2021-04-28,1227424.7282203997,BULLISH,0.0036346408947660613
2021-04-29,1228248.8990203997,BULLISH,0.0006714634152718002
2021-04-30,1232437.0253203998,BULLISH,0.0034098351753788503
2021-05-03,1254408.6269203995,BULLISH,0.01782776819309495
2021-05-04,1256144.3400987997,BULLISH,0.0013836904029123076
2021-05-05,1257408.3943988,BULLISH,0.0010062970151192285
2021-05-06,1266469.0797987997,BULLISH,0.007205841348253195
2021-05-07,1276097.7897988,BULLISH,0.007602799115735026
2021-05-10,1291827.7417987995,BULLISH,0.01232660390586493
2021-05-11,1301418.2573987998,BULLISH,0.007423989507026718
2021-05-12,1293759.6498987996,BULLISH,-0.005884816396619308
2021-05-14,1286087.277214,BULLISH,-0.005930292141511528
2021-05-17,1288850.067314,BULLISH,0.00214821353803063
2021-05-18,1291167.403114,BULLISH,0.0017979871039843776
2021-05-19,1290494.350714,BULLISH,-0.0005212743122052776
2021-05-20,1294403.0780784,BULLISH,0.003028860500038366
2021-05-21,1302188.8451784,BULLISH,0.006014947918354885
2021-05-24,1294872.8680783997,BULLISH,-0.0056182151514267975
2021-05-25,1299475.0252784002,BULLISH,0.003554138258244688
2021-05-26,1304560.6237783998,BULLISH,0.003913579253983723
2021-05-27,1302047.5516783998,BULLISH,-0.0019263743318584936
2021-05-28,1301932.7271784,BULLISH,-8.81876394236425e-05
2021-05-31,1307444.3719784,BULLISH,0.0042334328686437495
2021-06-01,1297296.125208,BULLISH,-0.007761895639998739
2021-06-02,1301874.4399079997,BULLISH,0.0035291207697591975
2021-06-03,1312855.565808,BULLISH,0.008434857896723491
2021-06-04,1315030.952108,BULLISH,0.001656988290757777
2021-06-07,1333175.9510079997,BULLISH,0.013798153473812302
2021-06-08,1329965.836008,BULLISH,-0.00240787046718971
2021-06-09,1319059.597308,BULLISH,-0.008200390118843881
2021-06-10,1329317.9194079996,BULLISH,0.007776996673186876
2021-06-11,1332294.5920079998,BULLISH,0.002239248080945
2021-06-14,1329914.820908,BULLISH,-0.001786219890312024
2021-06-15,1333634.4249079998,BULLISH,0.0027968738610344435
2021-06-16,1330054.0400631998,BULLISH,-0.0026846823821655708
2021-06-17,1325137.5755363998,BULLISH,-0.003696439677418173
2021-06-18,1322071.2813463998,BULLISH,-0.002313944036157034
2021-06-21,1335271.1296463998,BULLISH,0.009984218314278204
2021-06-22,1329431.7129463998,BULLISH,-0.004373206737081414
2021-06-23,1316270.6491408,BULLISH,-0.009899766702895385
2021-06-24,1319792.5125407998,BULLISH,0.0026756377210863658
2021-06-25,1317343.7768176,BULLISH,-0.0018553944653660892
2021-06-28,1313920.0686175996,BULLISH,-0.0025989481715026352
2021-06-29,1310785.8227176,BULLISH,-0.002385415958595649
2021-06-30,1304701.1615952,BULLISH,-0.004641994914001302
2021-07-01,1300798.2678952,BULLISH,-0.0029914081591128072
2021-07-02,1294997.6631952,BULLISH,-0.004459265393538581
2021-07-05,1293066.9380228,BULLISH,-0.0014909101593559848
2021-07-06,1296972.6327228,BULLISH,0.0030204891836240755
2021-07-07,1296684.9823147997,BULLISH,-0.00022178602750955179
2021-07-08,1286166.7675059997,BULLISH,-0.0081116192076377
2021-07-09,1288748.5887059998,BULLISH,0.0020073766989070485
2021-07-12,1300172.179506,BULLISH,0.008864095681742068
2021-07-13,1307261.547606,BULLISH,0.005452637898077262
2021-07-14,1308225.4973059995,BULLISH,0.0007373809026700595
2021-07-15,1316950.741614,BULLISH,0.006669526259783343
2021-07-16,1313746.2666139998,BULLISH,-0.0024332534989675025
2021-07-19,1312458.311814,BULLISH,-0.0009803680000700643
2021-07-20,1342989.3288959998,BULLISH,0.023262466172965013
2021-07-22,1340786.173696,BULLISH,-0.0016404860058054638
2021-07-23,1357178.4574959998,BULLISH,0.012225874730504627
2021-07-26,1399506.2196959998,BULLISH,0.031188059290371273
2021-07-27,1383371.5585556,BULLISH,-0.0115288241762187
2021-07-28,1394759.3051555995,BULLISH,0.00823187850694973
2021-07-29,1386275.5525556,BULLISH,-0.006082592579694679
2021-07-30,1396839.1555555998,BULLISH,0.007620132217239117
2021-08-02,1419858.4829556,BULLISH,0.01647958342837552
2021-08-03,1413195.5941555998,BULLISH,-0.004692642879542852
2021-08-04,1384819.2337788,BULLISH,-0.020079570368145117
2021-08-05,1392806.0578787995,BULLISH,0.005767412746142897
2021-08-06,1372157.902204,BULLISH,-0.014824860617167368
2021-08-09,1369646.4175039998,BULLISH,-0.0018303175574517772
2021-08-10,1334998.4757263996,BULLISH,-0.02529699733800017
2021-08-11,1331118.7768263996,BULLISH,-0.002906144816299472
2021-08-12,1335630.2760263996,BULLISH,0.0033892536703268306
2021-08-13,1345115.5750263997,BULLISH,0.007101740032593229
2021-08-16,1342114.4869547994,BULLISH,-0.002231100529440644
2021-08-17,1363400.1318547996,BULLISH,0.015859783279961848
2021-08-18,1354725.3370447997,BULLISH,-0.0063626184326376345
2021-08-20,1337653.0038355994,BULLISH,-0.012602062382949142
2021-08-23,1335659.1795355994,BULLISH,-0.0014905392461893596
2021-08-24,1342764.9246355994,BULLISH,0.005320028648678532
2021-08-25,1341373.6511355997,BULLISH,-0.0010361258880643431
2021-08-26,1336927.1263355997,BULLISH,-0.0033149039391340285
2021-08-27,1339674.6143355994,BULLISH,0.002055076859372562
2021-08-30,1360207.5604355994,BULLISH,0.01532681584041451
2021-08-31,1382886.6801355996,BULLISH,0.016673278666924363
2021-09-01,1398859.5488355996,BULLISH,0.011550381480595284
2021-09-02,1402759.6735355994,BULLISH,0.0027880745449007094
2021-09-03,1404988.3630355997,BULLISH,0.0015887892573807072
2021-09-06,1404503.4163355995,BULLISH,-0.00034516065240031146
2021-09-07,1396112.6791655994,BULLISH,-0.00597416643662696
2021-09-08,1401334.3652655997,BULLISH,0.003740160932512282
2021-09-09,1403551.8685655994,BULLISH,0.0015824226929448404
2021-09-13,1404072.6046655995,BULLISH,0.00037101307879150447
2021-09-14,1405181.191265599,BULLISH,0.0007895507656199285
2021-09-15,1405228.1254655996,BULLISH,3.340081712743803e-05
2021-09-16,1400934.2286271995,BULLISH,-0.003055658195694977
2021-09-17,1371958.8923799994,BULLISH,-0.02068286694343502
2021-09-20,1349883.4108703998,BULLISH,-0.016090483200487338
2021-09-21,1346043.3144263998,BULLISH,-0.0028447615646479685
2021-09-22,1356432.8801263997,BULLISH,0.007718596859884297
2021-09-23,1365995.0679263994,BULLISH,0.007049510477148413
2021-09-24,1367912.3781263994,BULLISH,0.0014035996505539217
2021-09-27,1350097.6667375995,BULLISH,-0.013023284000982738
2021-09-28,1352335.5627643997,BULLISH,0.0016575808416940951
2021-09-29,1363515.1376643996,BULLISH,0.008266864532606721
2021-09-30,1374934.0377643995,BULLISH,0.008374604567690902
2021-10-01,1383538.9641643995,BULLISH,0.006258428523590265
2021-10-04,1390897.9292643997,BULLISH,0.0053189431527465025
2021-10-05,1380468.5008643996,BULLISH,-0.00749834202824351
2021-10-06,1371516.4518847994,BULLISH,-0.006484790470767554
2021-10-07,1378987.9989847995,BULLISH,0.0054476540108086
2021-10-08,1383479.5095848,BULLISH,0.003257106373157237
2021-10-11,1389615.5163847995,BULLISH,0.0044351989006623516
2021-10-12,1390662.7681891995,BULLISH,0.0007536270227641584
2021-10-13,1397506.5679891994,BULLISH,0.004921250468876259
2021-10-14,1390521.2381363995,BULLISH,-0.004998423630202087
2021-10-18,1388791.5398363995,BULLISH,-0.0012439208065014862
2021-10-19,1366461.6156507996,BULLISH,-0.016078672388967985
2021-10-20,1372770.5735507994,BULLISH,0.004617003381390372
2021-10-21,1364943.837668399,BULLISH,-0.005701415832476409
2021-10-22,1337711.5856263991,BULLISH,-0.019951188679321885
2021-10-25,1331633.0889263996,BULLISH,-0.004543951600115115
2021-10-26,1344541.8682263992,BULLISH,0.009693946033142664
2021-10-27,1344628.7894263994,BULLISH,6.464744762091357e-05
2021-10-28,1323888.8604975997,BULLISH,-0.0154242785011669
2021-10-29,1333584.8565975996,BULLISH,0.0073238746765762475
2021-11-01,1333726.379497599,BULLISH,0.00010612215585625862
2021-11-02,1346808.2473975995,BULLISH,0.009808509527215126
2021-11-03,1347110.9046975994,BULLISH,0.00022472189384403762
2021-11-04,1357740.6720975994,BULLISH,0.007890788622475053
2021-11-08,1361403.8220975993,BULLISH,0.0026979747129034504
2021-11-09,1364036.2408975994,BULLISH,0.0019336061477659428
2021-11-10,1346814.3466519993,BULLISH,-0.012625686715088458
2021-11-11,1341616.795226799,BULLISH,-0.003859144683244997
2021-11-12,1344936.7392267992,BULLISH,0.002474584405779412
2021-11-15,1330375.5880531992,BULLISH,-0.010826643922279278
2021-11-16,1322186.3202731994,BULLISH,-0.0061556058706576655
2021-11-17,1337011.6736731993,BULLISH,0.011212756608264263
2021-11-18,1325908.6984627994,BULLISH,-0.008304321816350657
2021-11-22,1318052.6443423992,BULLISH,-0.005925034000838991
2021-11-23,1325283.9364423994,BULLISH,0.005486345428644013
2021-11-24,1318191.371642399,BULLISH,-0.005351732262778075
2021-11-25,1356202.2089423994,BULLISH,0.028835598622255265
2021-11-26,1344677.394696399,BULLISH,-0.008497858335585251
2021-11-29,1339451.3940963994,BULLISH,-0.0038864344865257028
2021-11-30,1327877.8027563994,BULLISH,-0.008640545966065227
2021-12-01,1311921.0265319997,BULLISH,-0.012016750480561278
2021-12-02,1329755.3983319993,BULLISH,0.013594089460662095
2021-12-03,1329081.633902399,BULLISH,-0.0005066829812800933
2021-12-06,1310717.2033631995,BULLISH,-0.013817383425334562
2021-12-07,1322550.8084631995,BULLISH,0.009028343466947586
2021-12-08,1336105.8737631994,BULLISH,0.010249183028174791
2021-12-09,1339532.8587631995,BULLISH,0.002564905272325335
2021-12-10,1347091.5076631994,BULLISH,0.005642749896392241
2021-12-13,1346658.6903631997,BULLISH,-0.0003212976234633347
2021-12-14,1352648.5637631994,BULLISH,0.00444795213728888
2021-12-15,1350852.2391631994,BULLISH,-0.001328005402232768
2021-12-16,1328389.536422799,BULLISH,-0.016628541663679774
2021-12-17,1301099.9055579992,BULLISH,-0.020543394927882264
2021-12-20,1295162.3287679993,BULLISH,-0.004563505665195922
2021-12-21,1301631.6159203993,BULLISH,0.004994962414135218
2021-12-22,1311846.2422203994,BULLISH,0.007847555464283396
2021-12-23,1309732.1891203993,BULLISH,-0.0016115098187283738
2021-12-24,1321680.4411203994,BULLISH,0.009122668053248573
2021-12-27,1330356.4367203994,BULLISH,0.006564367096667745
2021-12-28,1339097.7192203996,BULLISH,0.006570631943984218
2021-12-29,1333218.9733203994,BULLISH,-0.004390079839298622
2021-12-30,1339574.5155507994,BULLISH,0.004767065544057925
2021-12-31,1340591.8925507995,BULLISH,0.0007594777208654868
2022-01-03,1341662.3035507994,BULLISH,0.0007984614899938514
2022-01-04,1332681.730465999,BULLISH,-0.006693616613534292
2022-01-05,1320715.8094955992,BULLISH,-0.008978828700694885
2022-01-06,1311379.1789679993,BULLISH,-0.007069371367005695
2022-01-07,1305339.5793679992,BULLISH,-0.0046055326307322675
2022-01-10,1318230.1737679993,BULLISH,0.009875280427979805
2022-01-11,1318128.072767999,BULLISH,-7.745308978057697e-05
2022-01-12,1316580.2605695997,BULLISH,-0.0011742502343865535
2022-01-13,1322569.8071695997,BULLISH,0.00454932128285801
2022-01-14,1331935.9745695991,BULLISH,0.007081794359152793
2022-01-17,1342849.9011695993,BULLISH,0.008194032452293332
2022-01-18,1336567.4787695992,BULLISH,-0.004678424889131838
2022-01-19,1344542.895980799,BULLISH,0.005967089082955734
2022-01-20,1357160.6135199992,BULLISH,0.009384391957235394
2022-01-21,1344164.9501199997,BULLISH,-0.009575626694834027
2022-01-24,1292988.1463559994,BULLISH,-0.03807330622587024
2022-01-25,1294224.5897519994,BULLISH,0.0009562681602957035
2022-01-27,1302815.1535519992,BULLISH,0.0066376144202653364
2022-01-28,1292080.9281319992,BULLISH,-0.008239254349117875
2022-01-31,1298520.6714327992,BULLISH,0.004984009252508859
2022-02-01,1300306.5205327992,BULLISH,0.001375295087162165
2022-02-02,1311855.0354327993,BULLISH,0.0088813789038511
2022-02-03,1313012.3879327995,BULLISH,0.0008822259081533446
2022-02-04,1306607.094732799,BULLISH,-0.00487831893961399
2022-02-07,1321134.632432799,BULLISH,0.011118520447779279
2022-02-08,1325940.527632799,BULLISH,0.0036377028366518793
2022-02-09,1322406.762569999,BULLISH,-0.0026651007259795856
2022-02-10,1319890.3544699992,BULLISH,-0.0019029002053115862
2022-02-11,1315473.6221699992,BULLISH,-0.0033462872768500462
2022-02-14,1272049.008351199,BULLISH,-0.03301063061011211
2022-02-15,1271208.633277599,BULLISH,-0.0006606467738923261
2022-02-16,1271341.292637599,BULLISH,0.0001043568746523782
2022-02-17,1275158.873235599,BULLISH,0.0030027976123387923
2022-02-18,1271324.479203599,BULLISH,-0.003006993177462225
2022-02-21,1267330.8399035991,BULLISH,-0.0031413217989019193
2022-02-22,1250653.7777187992,BULLISH,-0.013159201733044301
2022-02-23,1248900.665218799,BULLISH,-0.0014017568500835909
2022-02-24,1230046.246006399,NEUTRAL,-0.015096812530800308
2022-02-25,1230046.246006399,SIDEWAYS,0.0
2022-02-28,1227768.4455659988,BULLISH,-0.0018518006520450436
2022-03-02,1245591.315265999,SIDEWAYS,0.014516474799760593
2022-03-03,1253207.6044659987,SIDEWAYS,0.006114597225152618
2022-03-04,1235386.736130799,NEUTRAL,-0.014220204435156925
2022-03-07,1241176.260599999,NEUTRAL,0.004686406531555276
2022-03-08,1238406.7370999989,NEUTRAL,-0.002231370022063861
2022-03-09,1239273.925099999,NEUTRAL,0.0007002448985629073
2022-03-10,1226077.9215967988,SIDEWAYS,-0.010648173285930596
2022-03-11,1230669.649696799,SIDEWAYS,0.003745054061506936
2022-03-14,1234216.784289599,BULLISH,0.002882280060838349
2022-03-15,1229073.048089599,SIDEWAYS,-0.004167611610435662
2022-03-16,1233800.264289599,BULLISH,0.003846163747018627
2022-03-17,1232758.491589599,BULLISH,-0.0008443608987226403
2022-03-21,1234095.894689599,BULLISH,0.0010848865443835454
2022-03-22,1241997.338389999,BULLISH,0.0064026172799054315
2022-03-23,1247967.106189999,BULLISH,0.004806586629032994
2022-03-24,1245838.039489999,BULLISH,-0.0017060278988442201
2022-03-25,1245357.666196399,BULLISH,-0.0003855824580510925
2022-03-28,1251691.095824399,BULLISH,0.005085631059986051
2022-03-29,1263769.168224399,BULLISH,0.009649403467270723
2022-03-30,1260532.941524399,BULLISH,-0.002560773582209519
2022-03-31,1267146.4775243993,BULLISH,0.005246618935640379
2022-04-01,1271371.413641199,BULLISH,0.0033342128883582234
2022-04-04,1288795.1568411991,BULLISH,0.013704683787170158
2022-04-05,1314174.3624411991,BULLISH,0.019692195043783167
2022-04-06,1323785.315041199,BULLISH,0.0073133009398742566
2022-04-07,1311388.672141199,BULLISH,-0.009364541787211356
2022-04-08,1316144.455741199,BULLISH,0.0036265248442590714
2022-04-11,1319759.593841199,BULLISH,0.002746763916552153
2022-04-12,1304071.1561007989,BULLISH,-0.011887345099525715
2022-04-13,1309456.0700007994,BULLISH,0.0041293098730146305
2022-04-18,1308787.369400799,BULLISH,-0.0005106705106953102
2022-04-19,1287152.486287199,BULLISH,-0.01653047975509203
2022-04-20,1291527.0039871992,BULLISH,0.0033986009789861438
2022-04-21,1302365.915487199,BULLISH,0.008392322782673656
2022-04-22,1307264.0123871989,BULLISH,0.003760922212224349
2022-04-25,1307741.4008279992,BULLISH,0.0003651813530218817
2022-04-26,1307666.099641999,BULLISH,-5.758109818387869e-05
2022-04-27,1309515.0982419988,BULLISH,0.001413968443860325
2022-04-28,1298330.8619419988,BULLISH,-0.008540746353375095
2022-04-29,1284185.635385999,BULLISH,-0.010894932078285402
2022-05-02,1279718.5886543992,BULLISH,-0.003478505450076219
2022-05-04,1253038.1333903992,SIDEWAYS,-0.020848689313838875
2022-05-05,1248075.142284399,SIDEWAYS,-0.003960766215926448
2022-05-06,1246968.732449999,NEUTRAL,-0.000886492965779917
2022-05-09,1242070.692470799,NEUTRAL,-0.003927957335046139
2022-05-10,1239860.137770799,NEUTRAL,-0.0017797334027764844
2022-05-11,1232371.756290799,NEUTRAL,-0.006039698552986583
2022-05-12,1221334.345979599,NEUTRAL,-0.00895623439506632
2022-05-13,1221334.345979599,NEUTRAL,0.0
2022-05-16,1220852.047573999,NEUTRAL,-0.00039489465533137924
2022-05-17,1221540.224728399,NEUTRAL,0.0005636859566786612
2022-05-18,1219592.7452283988,NEUTRAL,-0.0015942819242265038
2022-05-19,1218693.506128399,NEUTRAL,-0.00073732736072607
2022-05-20,1222481.1731283988,NEUTRAL,0.003107973400164221
2022-05-23,1219724.2205287989,NEUTRAL,-0.002255210681523012
2022-05-24,1225781.613828799,BEARISH,0.004966199078488387
2022-05-25,1202943.147792399,BEARISH,-0.018631757711769503
2022-05-26,1201671.506092399,BEARISH,-0.0010571087273191226
2022-05-27,1205113.0398923988,BEARISH,0.00286395556735064
2022-05-30,1208093.4464923989,BEARISH,0.002473134470660332
2022-05-31,1205788.6456943988,BEARISH,-0.0019078000999772637
2022-06-01,1206353.276594399,BEARISH,0.0004682668907327603
2022-06-02,1205957.7757943987,BEARISH,-0.00032784824120246636
2022-06-03,1202294.683225599,BEARISH,-0.0030374965378757723
2022-06-06,1200423.9546291989,BEARISH,-0.0015559651244411166
2022-06-07,1200423.9546291989,BEARISH,0.0
2022-06-08,1200423.9546291989,BEARISH,0.0
2022-06-09,1200423.9546291989,BEARISH,0.0
2022-06-10,1200423.9546291989,BEARISH,0.0
2022-06-13,1200423.9546291989,BEARISH,0.0
2022-06-14,1200423.9546291989,BEARISH,0.0
2022-06-15,1200423.9546291989,BEARISH,0.0
2022-06-16,1200423.9546291989,BEARISH,0.0
2022-06-17,1200423.9546291989,BEARISH,0.0
2022-06-20,1200423.9546291989,BEARISH,0.0
2022-06-21,1200423.9546291989,BEARISH,0.0
2022-06-22,1200423.9546291989,BEARISH,0.0
2022-06-23,1200423.9546291989,BEARISH,0.0
2022-06-24,1200423.9546291989,BEARISH,0.0
2022-06-27,1200423.9546291989,BEARISH,0.0
2022-06-28,1200423.9546291989,BEARISH,0.0
2022-06-29,1200423.9546291989,BEARISH,0.0
2022-06-30,1200423.9546291989,BEARISH,0.0
2022-07-01,1200423.9546291989,BEARISH,0.0
2022-07-04,1200423.9546291989,BEARISH,0.0
2022-07-05,1200423.9546291989,BEARISH,0.0
2022-07-06,1200423.9546291989,BEARISH,0.0
2022-07-07,1200423.9546291989,BEARISH,0.0
2022-07-08,1200423.9546291989,BEARISH,0.0
