symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_reason
ALOKINDS,2010-12-31,2011-02-09,25.8776,20.127,430,-2507.376440000002,TRAILING_STOP_20
APARINDS,2011-01-19,2011-02-09,173.8199,143.1231,58,-1813.6189591999992,SCORE_LOW
APOLLOHOSP,2010-12-31,2011-02-17,426.952,445.0054,26,423.1078383999993,SCORE_LOW
AUROPHARMA,2010-12-16,2011-02-23,120.9066,93.4902,92,-2556.7131935999987,TRAILING_STOP_20
CANBK,2011-01-06,2011-03-03,90.7099,90.0476,120,-122.698848,SCORE_LOW
ATUL,2011-01-07,2011-03-09,158.2502,142.1148,67,-1119.1585663999995,SCORE_LOW
CARBORUNIV,2010-12-22,2011-03-14,112.8133,102.9135,98,-1010.5224920000019,SCORE_LOW
ABBOTINDIA,2011-01-04,2011-03-22,1115.488,1036.3944,9,-749.1525984000018,SCORE_LOW
KAJARIACER,2011-03-28,2011-03-31,32.0126,32.6186,299,142.1821544000013,SCORE_LOW
SUNPHARMA,2011-03-28,2011-04-01,198.7712,199.916,48,16.5665280000012,SCORE_LOW
M&MFIN,2011-03-28,2011-04-04,81.7693,78.7539,117,-389.65862520000155,SCORE_LOW
SUPREMEIND,2011-03-28,2011-04-04,121.0636,120.9816,79,-44.708185600000434,SCORE_LOW
HAVELLS,2011-04-04,2011-04-06,69.5009,67.7761,143,-285.4143292000008,SCORE_LOW
GRAVITA,2011-03-28,2011-04-26,59.9821,59.1313,159,-172.88470679999955,TRAILING_STOP_20
AXISBANK,2011-03-31,2011-05-12,258.1645,221.716,37,-1381.4084679999996,SCORE_LOW
GRASIM,2011-03-28,2011-05-25,343.8274,312.1432,27,-889.1848656000002,SCORE_LOW
ACC,2010-12-09,2011-06-17,803.2586,794.2678,13,-158.1823256000025,SCORE_LOW
SIEMENS,2011-03-28,2011-06-21,432.8979,415.8993,22,-410.5683384000022,SCORE_LOW
BOSCHLTD,2011-03-28,2011-06-23,5630.1646,5983.2153,1,329.11783879999984,REGIME_BEAR
CRISIL,2011-03-28,2011-06-23,489.0724,549.9174,19,1114.2612776000024,REGIME_BEAR
ITC,2011-04-01,2011-06-23,74.1335,79.6569,132,687.0299567999991,REGIME_BEAR
BATAINDIA,2011-04-04,2011-06-23,180.3524,228.0334,55,2572.287651999999,REGIME_BEAR
BLUEDART,2011-04-06,2011-06-23,1020.0995,1190.5354,9,1491.0638256000002,REGIME_BEAR
ABBOTINDIA,2011-04-26,2011-06-23,1344.7596,1227.0581,7,-858.2681268000015,REGIME_BEAR
HCLTECH,2012-06-27,2012-07-17,83.5356,85.1361,115,144.8948939999991,SCORE_LOW
GILLETTE,2012-06-27,2012-07-20,1958.8623,1916.8181,4,-198.8458896000002,SCORE_LOW
EICHERMOT,2012-06-27,2012-08-09,182.5176,190.4918,52,375.03610560000016,SCORE_LOW
ABBOTINDIA,2012-08-09,2012-08-13,1328.6871,1333.9474,7,-0.5284272000026249,SCORE_LOW
CEATLTD,2012-06-27,2012-08-14,85.687,86.6609,112,70.25271680000151,SCORE_LOW
BAJAJFINSV,2012-07-17,2012-09-13,66.235,73.9561,156,1158.3429936000011,SCORE_LOW
CUB,2012-06-27,2012-09-14,32.4017,33.0782,297,161.62359840000136,SCORE_LOW
CASTROLIND,2012-06-27,2012-09-21,79.4283,94.1899,121,1740.5656884000018,SCORE_LOW
APOLLOHOSP,2012-09-13,2012-09-21,641.8041,653.9324,18,171.2262671999997,SCORE_LOW
GLENMARK,2012-06-27,2012-10-01,347.7088,398.9271,27,1339.8099731999991,SCORE_LOW
AJANTPHARM,2012-07-20,2012-10-09,58.171,61.9449,161,567.7053844000002,SCORE_LOW
GRANULES,2012-06-27,2012-10-30,10.8859,15.9638,885,4437.429648000003,TRAILING_STOP_20
AKZOINDIA,2012-10-30,2012-11-02,622.2357,625.5906,19,16.198214400001234,SCORE_LOW
BALRAMCHIN,2012-09-21,2012-11-23,54.5564,50.597,212,-882.2990559999998,SCORE_LOW
APLAPOLLO,2012-11-23,2012-12-03,16.1556,16.3869,764,126.634833600001,SCORE_LOW
ACC,2012-09-14,2012-12-10,1184.3322,1208.0485,8,151.0728479999998,SCORE_LOW
AMBUJACEM,2012-10-01,2012-12-13,172.6287,170.1979,61,-189.80708760000016,SCORE_LOW
ATUL,2012-06-27,2013-01-16,208.1209,341.2404,46,6060.708766400001,TRAILING_STOP_20
ADANIPORTS,2013-01-16,2013-01-18,126.6558,123.5268,123,-445.6421855999997,SCORE_LOW
APARINDS,2012-12-13,2013-01-23,128.0912,121.3156,80,-580.8689919999997,SCORE_LOW
ALKYLAMINE,2012-12-10,2013-02-18,24.7339,24.8533,387,7.734891600000992,TRAILING_STOP_20
CONCOR,2013-02-18,2013-02-19,188.0738,187.3929,50,-71.52358000000095,SCORE_LOW
AARTIIND,2012-10-09,2013-02-20,18.222,18.8756,552,319.109875199998,SCORE_LOW
BAJFINANCE,2012-09-21,2013-03-05,10.0381,12.0436,1169,2288.1136263999997,SCORE_LOW
BAJAJHLDNG,2013-02-20,2013-03-12,777.5355,726.1944,13,-705.1964087999986,SCORE_LOW
BAJAJ-AUTO,2012-11-02,2013-03-13,1364.4792,1362.7896,9,-64.26682559999972,SCORE_LOW
APLAPOLLO,2013-01-18,2013-03-19,16.5648,15.5197,913,-1010.8542444000013,TRAILING_STOP_20
ASTRAL,2012-08-13,2013-03-21,21.6214,33.1692,453,5171.050809599998,SCORE_LOW
CANFINHOME,2013-03-12,2013-03-25,26.1822,22.7809,357,-1246.7952252000014,SCORE_LOW
APOLLOTYRE,2013-03-21,2013-04-03,70.1046,70.8653,217,103.5608196000012,SCORE_LOW
ALKYLAMINE,2013-03-25,2013-04-25,26.4312,25.5868,307,-290.6513904000003,SCORE_LOW
CHOLAFIN,2012-06-27,2013-04-29,31.5854,50.3084,305,5649.138751999999,SCORE_LOW
MINDACORP,2012-12-03,2013-05-30,7.1988,27.7602,1726,35297.31997920001,SCORE_LOW
AXISBANK,2013-05-30,2013-06-10,270.612,255.983,67,-1048.7464440000003,SCORE_LOW
AJANTPHARM,2013-01-23,2013-06-13,78.0085,124.858,123,5701.058363999999,TRAILING_STOP_20
BERGEPAINT,2013-02-19,2013-08-01,54.7364,55.1993,173,41.88378439999906,TRAILING_STOP_20
AKZOINDIA,2013-03-19,2013-08-02,660.4759,646.7505,21,-342.5604420000018,SCORE_LOW
ASIANPAINT,2013-03-13,2013-08-06,429.161,394.862,28,-1004.596544,SCORE_LOW
CERA,2012-08-14,2013-08-20,295.9422,474.6805,32,5658.866495999999,REGIME_BEAR
APLLTD,2013-03-05,2013-08-20,79.782,120.7393,178,7204.433018399999,REGIME_BEAR
DABUR,2013-04-03,2013-08-20,126.7999,138.6135,120,1351.0975200000012,REGIME_BEAR
GODREJCP,2013-04-25,2013-08-20,266.7239,249.2338,29,-536.1240208000008,REGIME_BEAR
APOLLOHOSP,2013-04-29,2013-08-20,784.6811,791.3389,19,66.3564435999997,REGIME_BEAR
ASTRAL,2013-06-10,2013-08-20,51.7758,44.6981,351,-2547.0288323999994,REGIME_BEAR
CRISIL,2013-06-14,2013-08-20,956.4179,964.1019,18,68.89666320000106,REGIME_BEAR
MARICO,2013-09-20,2013-10-01,91.6185,89.2613,183,-496.7068715999976,SCORE_LOW
GLAXO,2013-09-20,2013-10-10,958.929,968.3604,17,94.48529280000184,SCORE_LOW
EICHERMOT,2013-09-20,2013-10-30,319.3169,357.7599,52,1924.6219408000034,SCORE_LOW
BATAINDIA,2013-10-30,2013-10-31,402.6362,414.5884,44,452.92924159999893,SCORE_LOW
BAJAJ-AUTO,2013-09-20,2013-11-21,1467.5082,1423.6106,11,-545.5124664000014,SCORE_LOW
BHARTIARTL,2013-09-20,2013-11-28,289.5229,272.1952,58,-1068.1558863999999,SCORE_LOW
HEROMOTOCO,2013-09-20,2013-12-30,1352.389,1411.4896,12,641.4556992000034,SCORE_LOW
