ticker,name,sector,industry,fiscal_year,revenue,ebitda,pat,roce,capex,employee_cost,total_assets,pe,ev_ebitda,pb,debt_equity
NESTLEIND,Nestle India,CONSUMER,FMCG,2021,146649000000.0,34500200000.0,21184100000.0,0.559295,-7348400000.0,,82341300000.0,78.106476,51.549,53.213924,8.613
NESTLEIND,Nestle India,CONSUMER,FMCG,2022,167895300000.0,38135500000.0,23905200000.0,0.578157,-5499200000.0,,89787400000.0,78.106476,51.549,53.213924,8.613
NESTLEIND,Nestle India,CONSUMER,FMCG,2025,200775000000.0,49920400000.0,32075900000.0,0.592986,-20086400000.0,,121933200000.0,78.106476,51.549,53.213924,8.613
MARUTI,Maruti Suzuki,AUTO,Passenger Vehicles,2022,,,,,,,,27.777897,18.226,3.8104408,0.096
MARUTI,Maruti Suzuki,AUTO,Passenger Vehicles,2023,1137648000000.0,155365000000.0,82637000000.0,0.137731,-80648000000.0,,1003854000000.0,27.777897,18.226,3.8104408,0.096
MARUTI,Maruti Suzuki,AUTO,Passenger Vehicles,2024,1364838000000.0,228739000000.0,134882000000.0,0.197073,-91999000000.0,,1153508000000.0,27.777897,18.226,3.8104408,0.096
MARUTI,Maruti Suzuki,AUTO,Passenger Vehicles,2025,1505556000000.0,254224000000.0,145002000000.0,0.195404,-106210000000.0,,1319718000000.0,27.777897,18.226,3.8104408,0.096
MARUTI,Maruti Suzuki,AUTO,Passenger Vehicles,2026,1803501000000.0,260989000000.0,146795000000.0,0.172216,-103976000000.0,,1488810000000.0,27.777897,18.226,3.8104408,0.096
SUNPHARMA,Sun Pharmaceutical,PHARMA,Pharmaceuticals,2022,384264200000.0,67524100000.0,32727300000.0,0.087618,-14950400000.0,,697998700000.0,38.606113,25.191,5.685103,5.517
SUNPHARMA,Sun Pharmaceutical,PHARMA,Pharmaceuticals,2023,432788700000.0,121108600000.0,84735800000.0,0.157478,-20855800000.0,,807435900000.0,38.606113,25.191,5.685103,5.517
SUNPHARMA,Sun Pharmaceutical,PHARMA,Pharmaceuticals,2024,477584500000.0,138831500000.0,95763800000.0,0.165312,-22018100000.0,,854996500000.0,38.606113,25.191,5.685103,5.517
SUNPHARMA,Sun Pharmaceutical,PHARMA,Pharmaceuticals,2025,520412500000.0,165588800000.0,109290400000.0,0.189205,-21285800000.0,,921005800000.0,38.606113,25.191,5.685103,5.517
DIVISLAB,Divi's Laboratories,PHARMA,Pharmaceuticals,2022,87992300000.0,39953800000.0,29604500000.0,0.302473,-7132000000.0,,133747100000.0,73.53192,53.375,11.854679,0.584
DIVISLAB,Divi's Laboratories,PHARMA,Pharmaceuticals,2023,76650000000.0,27120000000.0,18240000000.0,0.177613,-4730000000.0,,144390000000.0,73.53192,53.375,11.854679,0.584
DIVISLAB,Divi's Laboratories,PHARMA,Pharmaceuticals,2024,77960000000.0,25440000000.0,16000000000.0,0.152621,-10030000000.0,,154700000000.0,73.53192,53.375,11.854679,0.584
DIVISLAB,Divi's Laboratories,PHARMA,Pharmaceuticals,2025,93250000000.0,33200000000.0,21910000000.0,0.188501,-14380000000.0,,169320000000.0,73.53192,53.375,11.854679,0.584
